,Date,User,Tweet
37,2023-02-28 06:55:14+00:00,ReddySalina,"#housingmarket 
#RealEstate 
#rentalmarket 
#CostOfLivingCrisis 
#unemployment 
#recession 
#StockMarket"
38,2023-02-28 06:53:52+00:00,theshortsnews21,Is the world moving towards recession ? https://t.co/ihdYTC6mVY
39,2023-02-28 06:53:13+00:00,ashishsr_speaks,"From employee engagement to employee separation.. Millennials grewUp!
#layoffs #faang #recession #techlayoffs"
40,2023-02-28 06:51:11+00:00,bohemianglytz,2023 US recession now expected to start later than predicted | AP News https://t.co/TBCozRVcJM
41,2023-02-28 06:51:10+00:00,Samridh65591914,Today’s breakfast #bachelor #ElectionResult #ENGvsNZ #izmirdeprem #LizaLevelsUpWithMaya #noorderlicht #PokemonDay #2ndWorldTourMANIACTH #14february #AdaniEnterprises #breakfast #recession https://t.co/UTuRstoq9S
42,2023-02-28 06:50:03+00:00,Raymond36730291,@EwinHannan @jaredm_lynch @australian The first but not the last. recession time?
43,2023-02-28 06:49:33+00:00,FOMCAlerts,2023 US recession now expected to start later than predicted - KPLC https://t.co/qBWHCyogl2
44,2023-02-28 06:49:14+00:00,JobadvisorL,London to power UK economy away from recession and clinch best growth across the country
45,2023-02-28 06:48:03+00:00,svenska_yle,"Finland gick in i recession – bruttonationalprodukten sjönk med 0,6 procent https://t.co/VlweKeYBD5"
46,2023-02-28 06:47:48+00:00,mitch_dol,@Tristanwaine Seems to be super focused in Mortgages in rural QLD with 30% of the loan book on an LVR above 71% 😬You might have a more optimistic view on house prices and the economy than I but I certainly wouldn’t be comfortable owning a mortgage lender in a falling housing market/recession https://t.co/MLIpsY2J1S
47,2023-02-28 06:47:38+00:00,ALeXusCrypto,@KevinSvenson_ Recession
48,2023-02-28 06:47:13+00:00,milad76630584,"@C_Barraud Yes, it's good, you have lied very nicely so far. Inflation is temporary and you are saying very nicely that there will be no recession. So far, you have deceived us. From now on, there will be no lies because the economy is telling the truth, not you liars."
49,2023-02-28 06:47:10+00:00,woahitsalmaa,"Micheal Jacksons death, 2008 Great Recession, Obama, iPhone, earthquake in Haiti, DACA, el chapo getting caught, twice, trump, sandy hook mass shooting, COVID 19 mmm idk if I’m forgetting something"
50,2023-02-28 06:47:00+00:00,Dgtipsolutions,"Strategy tips for Recession Marketing!!

#digitipsolutions #tips #recession #strategy #marketing #Mohali #seo #ppc #socialmedia #seoagency #marketingdigitip #googleads #seoservices

🌐: https://t.co/i9nTc9YBKs
📩: info@digitipsolutions.com
☎: (+91) 96463 43787 https://t.co/iajlN1DN5Z"
51,2023-02-28 06:45:47+00:00,SHENRY19761,@Don_E_B @realLizUSA @kimmagagal2 Recession within three months.
52,2023-02-28 06:44:17+00:00,MigsRunner,@moneywithkatie Hustle culture … you mean trying to work after the recession? Recessions right when people are graduating shape a lot of a generation’s work culture
53,2023-02-28 06:43:40+00:00,MetaJaunNews,"London businesses sweat over UK recession risk
https://t.co/mGjthzdCU2"
54,2023-02-28 06:43:33+00:00,BryanPatrick95,@CountryClubConZ Tax policy is about revenue optimization and economic growth in an expansion rates can go higher in recession they should go lower.
55,2023-02-28 06:43:26+00:00,Pondy23L,"@FacelessTrader Of these, my only outright buy recently has been TSLA last year at 108. Agree they are now overvalued for the current bear market conditions, specially with recession risk in H2."
56,2023-02-28 06:42:22+00:00,AndiMbss,"Waste of money!

We're in a recession.   I don't think any citizen of the United States want to pay for an investigation.  

Reprobate Republicans had 4 years to call an investigation.  If there was a skunk stinking..then fake laptop would be reason to investigate..DID THEY? NO! https://t.co/41TTTsvf2a"
57,2023-02-28 06:41:45+00:00,guardiannews,Hardware claw: Bunnings digs into pet supplies as recession-proof sector booms https://t.co/b1V3bfdB1Z
58,2023-02-28 06:41:07+00:00,Skyrocketpj,@DailyLoud If only they put as much time into uhh maybe trying to get us out of this damn recession and stop building unnecessary shit
59,2023-02-28 06:40:45+00:00,0xCryptoGurukul,"@EPBResearch Yep, more &amp; more indicators are suggesting one thing: recession. Another one to add to the list as being suggestive of weakening consumer demand, is falling imports."
60,2023-02-28 06:40:32+00:00,cryptodailyTS,"JUST IN: 🇺🇸 Dallas FED respondent says they ""expect a recession in the second half of 2023."""
61,2023-02-28 06:39:18+00:00,BT90,"@FilledWithMoney Getting a rage at 2.75% is only due to recession. 6.75% isn’t great but if we get back to the 4s, all is well."
62,2023-02-28 06:39:17+00:00,Prolemasses,"The economic downturn in the US was absolutely catastrophic for the fragile, recovering economy of the CSA. Already suffering from incredibly high inflation due to the crushing war indemnity payments, the recession destroyed the Confederate economy."
63,2023-02-28 06:39:07+00:00,Prolemasses,"The timing of the recession led to the Democrats retaking Congress in 1922.

This would hamper La Follette's ability to further pursue his agenda. While he passed a comprehensive pension program for the elderly and disabled in 1922, the Dem gains would put a halt to his plans..."
64,2023-02-28 06:39:06+00:00,Prolemasses,"And so in 1922, the recession which had seemed to be looming after the war, only to be kept at bay temporarily by Reconstruction, finally hit.

Though in the grand scheme of things the economic downturn was not as bad as it could have been, it was still painful."
65,2023-02-28 06:39:04+00:00,Prolemasses,"The Reconstruction programs had provided a much needed boost to the economy of the US post-war, and helped stave off a recession, giving people jobs and helping to rebuild crippled infrastructure.

But both the high levels of public spending and massive level of debt..."
66,2023-02-28 06:38:35+00:00,BitcoinGurukul,"🇺🇸 Dallas FED respondent says they ""expect a recession in the second half of 2023."""
67,2023-02-28 06:36:46+00:00,YessBambi,@she_lesbiann Social media fried everybody brains. We are in a f*cking recession! In the beginning of a war. Eggs are $12.36 mf 🗣️  They’re shouting tin f*cking balloons out the sky 🙄 our air is being poisoned! Be happy for OUR folk who trying and getting sh*t for themselves.
68,2023-02-28 06:35:58+00:00,InvariantPersp1,#recession ... Global $USD #Repo #Collateral Crunch edition https://t.co/caoDnS7q92
69,2023-02-28 06:33:56+00:00,hamzahmd_,"Even since the recession started, experienced full-stack developers have been in high demand.

They are not bothered by new fancy frameworks and uncertainty unless they own a tool."
70,2023-02-28 06:33:51+00:00,Silk_da_bebop,@214Christ1an @mistcop @DailyLoud Yo mums on fig for 50 even with recession going on 🤣
71,2023-02-28 06:33:16+00:00,HoxtonCapital,"Check out what our Financial Analyst, Thapelo Mphoreng, had to say about the global financial markets last week: https://t.co/SaC9cGOL6k

#markets #finance #invest #china #usa #stocks #inflation #recession"
72,2023-02-28 06:33:16+00:00,iniguez3,Damn I know times are tough right now but I wanted Cheetos PUFF’s not PUFF lol #hotcheetos #smallfry #recession #flaminhotcheetos #chestercheetah https://t.co/qQGlOmC4pk
73,2023-02-28 06:31:44+00:00,xenozades,FGC is in a recession
74,2023-02-28 06:31:05+00:00,tezflynn1942,"@GBNEWS Yes &amp; the timing of covid was just perfect for the RESET the WEF was starting to bring about this recession, 15m &amp; C40 cities. Net zero. They needed a police state put in place &amp; got one to bring us to where we are now. Covid was the tool to do it. Climate change is the new tool"
75,2023-02-28 06:29:07+00:00,bdw765,@RealDeanCain We paid the rich people debt for the 2008 recession.
76,2023-02-28 06:28:34+00:00,TheMarketLocust,@StealthQE4 Look if recession comes knocking at my door and she is hot. Well brother Iam going to have the greatest night of my life but whar is she is ugly; supposed soft landing by the fed. Well she looks like this https://t.co/I9cWnplJ4w
77,2023-02-28 06:28:33+00:00,Peter_halim7789,"Dear Mr &amp; Mrs President, and all of the stakeholders, good news for everyone. Let's move out from global recession, the sollusion has come. Implememting Financial Action Task Force Recomendation No 24 &amp; 25 is a must. #JoeBiden #BillGates #besos #G20Summit #polri #Jokowi https://t.co/cFHfOtH6eh"
78,2023-02-28 06:28:19+00:00,richardmorris84,@AvidCommentator We’re going to have a recession and inflation either way imo
79,2023-02-28 06:25:26+00:00,ChartHistory101,@CasualtyWar @TrendSpider I guess just ignore the quick and extended Bull move into the neckline of a massive multi year Head and Shoulders into a potential economic recession? Sounds good
80,2023-02-28 06:25:25+00:00,FXstreetReports,USD/CAD Forecast: Bulls have the upper hand above 100-day SMA amid Fed rate hike bets https://t.co/zXT6p8Jper #USDCAD #Fed #Bonds #Recession #Currencies https://t.co/QtYYJnufPM
81,2023-02-28 06:24:01+00:00,3beesbuzz,"Recession or not, Americans feel like they&amp;#8217;re poorer https://t.co/f0H2bdNXCL"
82,2023-02-28 06:21:42+00:00,PasevRumen,"@BillTravis1861 @AlexandruC4 "" it will likely send us into recession or even depression""
And what about the Chinese economy itself?
Is suicide perhaps their sweetest dream?"
83,2023-02-28 06:21:10+00:00,FactChecker23,"there was something else that changed between the lowest of the low employment years after the Great Recession, besides one law that affected a relatively narrow slice of the construction sector:
the economy recovered.
that is what led Carpenters' apprenticeship numbers to ⤴️ https://t.co/BIHqDdX2aP"
84,2023-02-28 06:21:04+00:00,meetkumardec,"43 from 27
FINNIFTY 18000 PE
#bankniftyoption
#FINNIFTY
#StocksToBuy #stockmarketcrash
#StockMarkets #stockmarketnews
#stocks #banknifty #BANKNIFTYFUTURE #nifty50
#NiftyBank #NIFTYFUTURE #recession #investing #StockMarket
#StockMarketindia
Join us
https://t.co/YQYiiUfIrc"
85,2023-02-28 06:20:34+00:00,MarioSatorik,Full list of Walmart stores closing from coast to coast after CFO issues warning about potential recession | Money News | Tue | 28 Feb | 6:20 | UTC https://t.co/arNiTnqhy9
86,2023-02-28 06:20:15+00:00,n00b_investor,"@StealthQE4 Interesting point too about the average bear market duration being circa 14 months and were currently 11 months in

I wouldn't be surprised if recession hits late 23 or early 24"
87,2023-02-28 06:19:12+00:00,holdeverything1,"How to Prepare Your Product Business for a Recession
https://t.co/4Eoe7EYP7Q"
88,2023-02-28 06:18:56+00:00,andrewsilva_io,"@Aus10_Lentsch Seems more and more likely the back half of this year is gonna be a gnarly recession 

(Photo unrelated) https://t.co/uryQGwIcTc"
89,2023-02-28 06:18:23+00:00,investor9696,"@marcus_uf Why? Just because they’re solvent doesn’t mean anything, they’re unprofitable and burning cash like crazy. A recession like 08 and they’ll go bankrupt."
90,2023-02-28 06:18:18+00:00,VolaTim,"@afewredbeans @sidprabhu Nope - if they don't kill growth with a recession, then inflation sticks around, and the later pain is likely to be worse"
91,2023-02-28 06:16:43+00:00,fouziabus,"@ChrisduCannet @Omerta_officiel Et ce n'est pas tout, il manque les avantages et indemnités en tous genres 😢😢..et dans le même temps ..la récession chez nous les gueux qui pourtant finançons tout ce beau monde.."
92,2023-02-28 06:15:59+00:00,GG9383,"@RyanDetrick @scottcharts Many macro data points have never been so low and the economy not in a recession, so I guess your also predicting a recession? or does your historical comparisons only work for stock market?"
93,2023-02-28 06:15:03+00:00,guardianworld,Hardware claw: Bunnings digs into pet supplies as recession-proof sector booms https://t.co/ePI1ECTRGd
94,2023-02-28 06:13:58+00:00,Agentkat007,"@Magadh_Prasad Quite a significant hairline recession, which is uncommon for woman of her age unless she has some thyroid issues !"
95,2023-02-28 06:12:52+00:00,BobNormal9,@CurtisHebert @SarahLhl remember she said what recession? i can't think of any good our government is doing for the people it seems it's all WEF agenda!
96,2023-02-28 06:12:52+00:00,trublion92600,"@marcuswerther @lunarlon339 @LukeGromen Energy isn’t cheap ! Stop lying to yourself. White House is forced to release US oil reserves… In France price of gasoline increased and reached 2€/liter. 
Germany is entering recession…"
97,2023-02-28 06:11:46+00:00,AmanAman2k,@REDBOXINDIA Issue is economies will still survive inspite of all this governments sponsored inflation sad bit is that people won’t survive this madness of inflation and recession. The West needs to wake up and take a hit to ensure well being of actual tax payers throughout the globe.
98,2023-02-28 06:11:41+00:00,OmglolU,"Blue rings at recession cycle and red rings at crisis cycle.
Cosmic rays have negative correlation with solar activity.
Crisis based recessions in 1974, 2008, 2020.
In 2013 a pass in recession cycle. https://t.co/p8UMeucGXN"
99,2023-02-28 06:11:26+00:00,meetkumardec,"38 till now from 27
FINNIFTY 18000 PE
#bankniftyoption
#FINNIFTY
#StocksToBuy #stockmarketcrash
#StockMarkets #stockmarketnews
#stocks #banknifty #BANKNIFTYFUTURE #nifty50
#NiftyBank #NIFTYFUTURE #recession #investing #StockMarket
#StockMarketindia
Join us
https://t.co/YQYiiUfIrc"
100,2023-02-28 06:11:12+00:00,ADE_MarcDesign,"@Spicy_Chai4u @TCMF2 @NsaneVapez It would have gone up a hell lot faster and certainly more as well though. Online services and hw included. Prices went up NOW because of the recession, w/o competition it would have been an ongoing recurrence.

Source? Every monopoly ever."
101,2023-02-28 06:11:00+00:00,dh4nvxq27j,@GCRClassic @doeydonuts Interesting… not expecting a recession anytime soon as most people do. Seems like the worst is behind us…for now…
102,2023-02-28 06:10:22+00:00,PJ11819211,"@philippilk @DaytimeDan How can you claim the situation is the same when the IMF has outright said the Eurozone went from claiming the Eurozone will have a recession in October 2022, to now registering growth."
103,2023-02-28 06:09:12+00:00,StealthQE4,Excellent thread. Looking back at history the current bear market won’t end until the recession starts 👇👇👇💥
104,2023-02-28 06:08:58+00:00,rodrigocastelo,"With a shadow of a recession haunting the beginning of the year, what can #CEOs and #CIOs do to minimize the impact of an economic downturn? The key is in the right #technology.  https://t.co/ePhQQ7fPmr"
105,2023-02-28 06:07:53+00:00,alshulo94,@WhiteHouse Recession!
106,2023-02-28 06:07:41+00:00,Nzwanya97,@EllenManda4 Vuto aliyense akangowayamba ichi aliyense akumayamba chomwecho.. But  for the meantime business ikuvuta 😂😂 with the current economic crisis and monetary recession
107,2023-02-28 06:05:02+00:00,Morningbulll,Chronique financière du jour : Le monde merveilleux de la finance qui vit dans le monde des Bisounours sur l’île aux enfants ne lâche rien et y croit toujours... https://t.co/WfIRBCqhXe #Bourse #Finance #Inflation #Récession #NeverWeak #NGU #NeverGiveUpOnOnflation #Taux #FED
108,2023-02-28 06:04:50+00:00,MorningbullLive,Chronique financière du jour : Le monde merveilleux de la finance qui vit dans le monde des Bisounours sur l’île aux enfants ne lâche rien et y croit toujours... https://t.co/pxDIimbG2z #Bourse #Finance #Inflation #Récession #NeverWeak #NGU #NeverGiveUpOnOnflation #Taux #FED
109,2023-02-28 06:04:33+00:00,CityAM,London businesses sweat over UK recession risk as experts warn on cost of living pressures https://t.co/1h3hTl5pZL
110,2023-02-28 06:03:15+00:00,whylerato,@MsZondi06 recession indicators 💀
111,2023-02-28 06:02:02+00:00,ohalloran_sam,"Question for all of you who are selling info/coaching...

Are you seeing an increase in % of people who take the payment plan option vs pay in full?

Recession mindset maybe?"
112,2023-02-28 06:02:00+00:00,_PropertyExpert,"Managing a successful business can be hard work; managing it during a recession can be even harder.

There are, however, some things you can concentrate on to help your business weather the storm of recession and take back control until more stable times:
 https://t.co/b845H3bLRH"
113,2023-02-28 06:01:55+00:00,Whatamess24,"@JackBrandz @squadfetus @Kushbai @POTUS You mean during the 1837 - 1838 recession near the end of the Great Depression? Tell me what having a baby cost then vs now. How about cancer treatment? The dentist. Tell me what they paid for health insurance back then.

https://t.co/QuV2wdXpAf"
114,2023-02-28 06:00:46+00:00,CHP_UHD,"Une grosse récession se prépare. Ici, on vous donne quelques outils clés pour vous aidez à faire face à la crise qui s’en vient et même à en sortir gagnant.

GESTION DES FINANCES EN PERIODE DE CRISE | DEBAT DE BENG
https://t.co/u0efgJWRJ9"
115,2023-02-28 06:00:17+00:00,TheGemHodlers,"Coin Bureau Names Top Altcoins To Invest in During a Recession  The Daily Hodl

https://t.co/JPmGCqYZz3

#cryptonews #cryptocurrency"
116,2023-02-28 06:00:06+00:00,decaturdaily,"WASHINGTON (AP) — A majority of the nation's business economists expect a U.S. recession to begin later this year than they had previously forecast, after a series of reports have pointed to a surprisingly resilient economy despite steadily higher i… https://t.co/eMipc97WDg"
117,2023-02-28 06:00:00+00:00,TTeong,Securing identities becomes even more critical during an economic recession. Find out how #ZeroTrust can help secure your organization https://t.co/cjWZy1F68W
118,2023-02-28 06:00:00+00:00,PakistanLead1,"Pakistan's #finance minister, Ishaq Dar, tweets hyperbolically about the opposition's economic recession, while his own administration is a joke. Dar's poor management has put Pakistan's finances at risk and led to high-interest loans.

#administration #pakistan #dollar #finances https://t.co/dxGHRvE9wm"
119,2023-02-28 05:59:34+00:00,lucidityelixr,I’m starting to see like half fursuit heads pop up a lot more and that’s how you know a recession is coming
120,2023-02-28 05:59:21+00:00,IgorDudzik2,@DeNovukov @LvivTyler @JaroslawMika Really? Who will have recession? Russian gain January deficit at the same level like on one year deficit https://t.co/a1E5V6HVnp pretty good condition 👌
121,2023-02-28 05:58:51+00:00,shyamvasudevan,What is a recession? How long will the recession last? Does it have to be really painful? https://t.co/RHj6dHB0y9
122,2023-02-28 05:56:58+00:00,vsleepygirl,all the blondes going back to their natural hair color = leading sign of recession
123,2023-02-28 05:55:47+00:00,JuanHer88106548,"@GuntherEagleman Smarter than you, was elected twice, got Bin Ladin and got us out of the worst recession in history left by his predecessor.  Your hero Lord Mango inherited that fully recovered economy then screwed it up. Four years of a revolving door shit show we had."
124,2023-02-28 05:54:40+00:00,ikrishna25,@ramaprasad4u Manmohan singh Tripled the GDP in the span of 10 years(2004-14)even though there was Recession( 2007-9). Modi ji Government not even near to doubling it 🥲. And your giving anti nationals tag to one who oppose inefficient PrAdani. #MelukoTelugoda https://t.co/bsBRMcJoyw
125,2023-02-28 05:54:09+00:00,Thecorruptorr,"@BhavikaKapoor5 President Obama thanked Dr. MMS for rescuing the world from global recession 2008.;Besides Unemployment at a record 40 yr high, 81 crore people are provided ration, China has grabbed our vantage points, Modiji has shifted the delivery date of most of his promises to year 2047."
126,2023-02-28 05:54:05+00:00,TommyLambertOKC,"@LadyConstance8 Then when inflation roars out of control and Republicans get back in the White House, they'll have to play ""bad cop"" and put the brakes on the economy and get the blame for a recession."
127,2023-02-28 05:53:56+00:00,k_nibley,@Jared_Carrabis @LouMerloni The $16 IPAs are going to be $22... just in time for a recession where no one will buy them... going to be interesting
128,2023-02-28 05:52:31+00:00,NanomachinesBot,This recession it's been stuck in since the fall of SOP.
129,2023-02-28 05:52:31+00:00,NanomachinesBot,This recession it's been stuck in since the fall of SOP.
130,2023-02-28 05:52:22+00:00,Vishnu_talkzz,"#Accenture Unique way of firing  year experienced Hardworking employee. The Employee says ""Even though my performance was good i am terminated in the name of #recession https://t.co/IukI0mwh9k"
131,2023-02-28 05:51:44+00:00,NKozev,@NorthmanTrader now the same sort of story is happening with the recession...
132,2023-02-28 05:51:40+00:00,Burgaert,"@DeItaone It's gotta start some time.

If you shout out every now and then, eventually, you'll get it right.  

So, what?  Is it going to be a bull market until then?

Are you positioned for the recession/ depression / disintegration?"
133,2023-02-28 05:51:16+00:00,mothmoder,call this estrogen a recession way it's shrinking my endowment
134,2023-02-28 05:49:13+00:00,Tboofer,"@OccupyDemocrats Lol what about North Korea?  I hope Biden does something meaningful one day, besides spend your money and put us in a depression. Who was the last president to put us in a recession? Think for yourself it’s not that hard. Put your country first"
135,2023-02-28 05:48:37+00:00,KotakCrypto,Dallas FED Respondent Expects a Recession in the Second Half of 2023. #KotakCrypto https://t.co/AyGK2lrDPu
136,2023-02-28 05:48:33+00:00,maxgenske,Canary in The Coal Mine? Er det her de første tegn på den recession som alle har spået måske/måske ikke kommer? #dkbiz #dkfinans  https://t.co/Zdb8zxnUoj
137,2023-02-28 05:48:08+00:00,ChristoD_Synan,@scotthortonshow Are you aware of the theory that the US was headed straight into a massive recession and needed an excuse to let the fed bazooka loose?
138,2023-02-28 05:47:48+00:00,dr3dio,I can’t wait for the recession
139,2023-02-28 05:47:44+00:00,Sparkymannz,"@sootytweet She talking about the homeowners that are going to lose their houses because the reserve bank hiked the interest rates up in a 1930s style recession and flood disaster.
How stupid is that."
140,2023-02-28 05:47:20+00:00,christinebarnum,What are you doing to prepare yourself &amp; your family for the incoming recession?
141,2023-02-28 05:47:16+00:00,jamiedc2003,@charliebilello And in one year it will be 2.5% as we will be in a recession
142,2023-02-28 05:47:12+00:00,rileybriannv,"@RepStefanik All the experts say it's not Bidens policies that are fueling this recession, it's corporate greed that is causing it. Corporations are more profitable than ever before.  They are buying back their stock and keeping prices high so they can make up for covid losses."
143,2023-02-28 05:46:53+00:00,Jaymakaveliii,@WorldEconomics something to rejoice about because positive growth is needed to overcome the fears of economic recession especially in a few studied African economies! #TogetherWeRise ✊🏼
144,2023-02-28 05:45:42+00:00,adolfdummkopf,"@Alainklain2 30 % sur la viande 😱😱
le capitalisme se tripotte à donf hysteriquement
la récession va lui coller une gifle magistrale à ces branleurs !"
145,2023-02-28 05:45:27+00:00,ScriptCards,"More likely the U.S. economy goes into recession the next few months, says Canaccord's Tony Dwyer: https://t.co/vbcYxYLPiI"
146,2023-02-28 05:45:27+00:00,DarylDoc22,"More likely the U.S. economy goes into recession the next few months, says Canaccord's Tony Dwyer: https://t.co/P1gks80vtP"
147,2023-02-28 05:45:26+00:00,ownbusinesses,"More likely the U.S. economy goes into recession the next few months, says Canaccord's Tony Dwyer: https://t.co/LqPE2oNfSR"
